colony,whole.mean,mean.dose,round,treatment,replicate,qro,alive,dead,duration
1.11R2,0.282950909,0,2,1,11,B1,5,0,41
1.12R2,0.169796364,0,2,1,12,B1,0,5,45
1.1R2,0.521345789,0,2,1,1,B1,5,0,48
1.2R2,0.33742,0,2,1,2,B5,4,1,28
1.3R2,0.451289091,0,2,1,3,B3,5,0,41
1.4R2,0.606301579,0,2,1,4,B5,1,4,44
1.5R2,0.707951579,0,2,1,5,B4,4,1,37
1.7R2,0.740038053,0,2,1,7,B1,5,0,37
1.9R2,0.224008077,0,2,1,9,B1,2,3,43
2.11R2,0.417827,35.9995816,2,2,11,B1,5,0,47
2.12R2,0.40355681,35.62452935,2,2,12,B1,5,0,44
2.1R2,0.610158947,55.13368328,2,2,1,B1,5,0,46
2.2R2,0.510923435,47.65174207,2,2,2,B5,4,1,55
2.3R2,0.328003632,24.29675944,2,2,3,B3,5,0,41
2.4R2,0.388139412,32.86885711,2,2,4,B5,0,5,44
2.5R2,0.7194915,73.77695874,2,2,5,B4,4,1,40
2.7R2,0.5299685,46.45850639,2,2,7,B1,5,0,45
2.9R2,0.58571519,52.49617521,2,2,9,B1,5,0,46
3.11R2,0.421640952,357.6577925,2,3,11,B1,5,0,39
3.12R2,0.339099259,281.2180256,2,3,12,B1,5,0,39
3.1R2,0.371194783,307.8860579,2,3,1,B1,5,0,35
3.2R2,0.346101,310.2828662,2,3,2,B5,5,0,48
3.3R2,0.846580556,919.0982303,2,3,3,B3,5,0,62
3.4R2,0.412043333,406.2087499,2,3,4,B5,3,2,38
3.5R2,0.890621053,969.8969038,2,3,5,B4,4,1,58
3.7R2,0.626667955,720.4781106,2,3,7,B1,5,0,20
3.9R2,0.440951053,417.9884856,2,3,9,B1,5,0,44
4.11R2,0.345601111,3697.922532,2,4,11,B1,5,0,42
4.12R2,0.249629474,2085.616936,2,4,12,B1,3,2,42
4.1R2,0.7074755,8936.658231,2,4,1,B1,5,0,41
4.2R2,0.38717425,4380.604838,2,4,2,B5,3,2,40
4.3R2,0.580007368,6846.910598,2,4,3,B3,5,0,40
4.4R2,0.835624737,10230.80238,2,4,4,B5,5,0,46
4.5R2,0.233596667,1757.692975,2,4,5,B4,0,5,40
4.7R2,0.62374,7030.063452,2,4,7,B1,5,0,40
4.9R2,0.532295,5682.260108,2,4,9,B1,4,1,45
5.11R2,0.411396,43070.09972,2,5,11,B1,5,0,43
5.12R2,0.207774074,15383.81515,2,5,12,B1,5,0,44
5.1R2,0.378228571,37367.48316,2,5,1,B1,5,0,42
5.2R2,0.491246818,52985.85612,2,5,2,B5,4,1,40
5.3R2,0.212877778,16364.60071,2,5,3,B3,0,5,58
5.4R2,0.4563045,48624.01684,2,5,4,B5,5,0,51
5.5R2,0.709547895,82144.93157,2,5,5,B4,5,0,43
5.7R2,0.611318889,67415.74103,2,5,7,B1,5,0,41
5.9R2,0.418829048,42601.2723,2,5,9,B1,5,0,41
