"colony","whole.mean","mean.dose","round","treatment","replicate","id","emerge_time","wet_weight","dry_weight","alive?","radial","abdomen_dry","order_on_sheet","abdomen_post_ethyl","fat_content","relative_fat","workers_alive","alive","qro","duration"
"1.11R2",0.282950909090909,0,"2","1","11","1.11R2.1",38,0.0984,0.0327,1,NA,0.0137,"363",0.0104,0.0033,NA,5,TRUE,"B1",41
"1.11R2",0.282950909090909,0,"2","1","11","1.11R2.4",40,0.9905,0.0385,1,2.3626,0.0203,"381",0.0164,0.0039,0.0016,5,TRUE,"B1",41
"1.11R2",0.282950909090909,0,"2","1","11","1.11R2.2",39,1.0425,0.0376,1,2.4387,0.0203,"375",0.0179,0.0024,0.001,5,TRUE,"B1",41
"1.11R2",0.282950909090909,0,"2","1","11","1.11R2.3",39,1.0551,0.031,1,2.2389,0.0153,"376",0.0122,0.0032,0.0014,5,TRUE,"B1",41
"1.1R2",0.521345789473684,0,"2","1","1","1.1R2.5",40,1.2661,0.0311,1,2.197,0.0181,"250",0.0159,0.0022,0.001,5,TRUE,"B1",48
"1.1R2",0.521345789473684,0,"2","1","1","1.1R2.4",40,1.3041,0.0447,1,2.054,0.0223,"249",0.0181,0.0042,0.0021,5,TRUE,"B1",48
"1.1R2",0.521345789473684,0,"2","1","1","1.1R2.2",33,1.1046,0.0308,1,2.0962,0.0145,"30",0.0117,0.0028,0.0013,5,TRUE,"B1",48
"1.1R2",0.521345789473684,0,"2","1","1","1.1R2.1",33,1.0776,0.0326,1,2.1573,0.015,"29",0.0123,0.0027,0.0013,5,TRUE,"B1",48
"1.1R2",0.521345789473684,0,"2","1","1","1.1R2.3",40,1.1663,0.0498,1,2.6429,0.027,"248",0.0226,0.0044,0.0017,5,TRUE,"B1",48
"1.1R2",0.521345789473684,0,"2","1","1","1.1R2.6",40,1.1555,0.0326,1,2.538,0.0192,"251",0.0166,0.0026,0.001,5,TRUE,"B1",48
"1.2R2",0.33742,0,"2","1","2","1.2R2.12",54,1.1673,0.0429,1,2.5323,0.0218,"414",0.017,0.0048,0.0019,4,TRUE,"B5",28
"1.2R2",0.33742,0,"2","1","2","1.2R2.10",52,1.1527,0.05,1,2.5934,0.028,"412",0.0222,0.0057,0.0022,4,TRUE,"B5",28
"1.2R2",0.33742,0,"2","1","2","1.2R2.4",51,1.1399,0.0514,1,2.5691,0.0299,"406",0.0243,0.0056,0.0022,4,TRUE,"B5",28
"1.2R2",0.33742,0,"2","1","2","1.2R2.8",52,1.1662,0.0572,1,2.7953,0.0327,"410",0.0254,0.0073,0.0026,4,TRUE,"B5",28
"1.2R2",0.33742,0,"2","1","2","1.2R2.3",51,1.1458,0.0412,1,2.549,0.021,"405",0.0148,0.0062,0.0024,4,TRUE,"B5",28
