round,colony,treatment,dose,pristine/g,replicate,count,start_date,start_time,start_weight,end_date,end_time,end_weight,whole_dif,pristine_consumed,difference,percent_consumed,dose_consumed,id,pid,bees_alive,minmax
2,4.9R2,4,15000,0.000015,9,14,9/9/2022,11:30,1.07429,9/11/2022,12:00,1.45525,-0.38096,-5.71E-06,-0.30646,-0.354615607,-5319.234099,258,R2.4.9-14,5,NA
2,5.5R2,5,150000,0.00015,5,16,9/9/2022,11:30,0.96123,9/11/2022,12:00,1.21675,-0.25552,-0.000038328,-0.15464,-0.265826077,-39873.91155,55,R2.5.5-16,5,NA
2,3.9R2,3,1500,0.0000015,9,5,8/26/2022,10:30,1.19949,8/28/2022,13:40,1.37887,-0.17938,-2.69E-07,-0.07066,-0.149546891,-224.3203361,508,R2.3.9-5,5,NA
2,5.9R2,5,150000,0.00015,9,6,8/26/2022,10:30,0.94653,8/28/2022,13:40,1.10583,-0.1593,-0.000023895,-0.06502,-0.168298945,-25244.84168,5,R2.5.9-6,5,NA
2,2.1R2,2,150,0.00000015,1,16,9/9/2022,11:30,1.14272,9/11/2022,12:00,1.3506,-0.20788,-3.12E-08,-0.04571,-0.18191683,-27.2875245,939,R2.2.1-16,5,NA
2,4.12R2,4,15000,0.000015,12,5,8/30/2022,11:30,1.0802,9/1/2022,10:30,0.97695,0.10325,1.55E-06,-0.040505,0.095584151,1433.762266,467,R2.4.12-5,4,NA
2,4.11R2,4,15000,0.000015,11,6,8/30/2022,11:30,1.19113,9/1/2022,10:30,1.06824,0.12289,1.84E-06,-0.020865,0.103170939,1547.564078,490,R2.4.11-6,5,NA
2,4.12R2,4,15000,0.000015,12,6,9/1/2022,10:30,1.2643,9/3/2022,12:20,1.13525,0.12905,1.94E-06,-0.014705,0.102072293,1531.084395,468,R2.4.12-6,4,NA
2,4.11R2,4,15000,0.000015,11,5,8/28/2022,1:00,1.2661,8/30/2022,12:00,1.11963,0.14647,2.20E-06,0.002715,0.115685965,1735.289472,489,R2.4.11-5,5,0
2,4.2R2,4,15000,0.000015,2,8,8/28/2022,1:00,1.11561,8/30/2022,12:00,0.96299,0.15262,2.29E-06,0.008865,0.13680408,2052.061204,376,R2.4.2-8,5,0.003935484
2,5.3R2,5,150000,0.00015,3,4,8/16/2022,14:00,1.2138,8/18/2022,14:00,1.26749,-0.05369,-8.05E-06,0.03155,-0.044232987,-6634.948097,83,R2.5.3-4,5,0.018451979
2,4.11R2,4,15000,0.000015,11,7,9/1/2022,10:30,1.01344,9/3/2022,12:20,0.83691,0.17653,2.65E-06,0.032775,0.174188901,2612.833518,491,R2.4.11-7,5,0.019235876
2,3.4R2,3,1500,0.0000015,4,4,8/16/2022,14:00,1.10776,8/18/2022,14:00,1.17445,-0.06669,-1.00E-07,0.03432,-0.060202571,-90.30385643,569,R2.3.4-4,5,0.020224547
2,3.4R2,3,1500,0.0000015,4,3,8/14/2022,14:40,0.99376,8/16/2022,15:30,1.05732,-0.06356,-9.53E-08,0.03745,-0.063959105,-95.93865722,568,R2.3.4-3,5,0.022227484
2,5.3R2,5,150000,0.00015,3,7,8/22/2022,10:30,1.16368,8/24/2022,13:00,1.21211,-0.04843,-7.26E-06,0.03775,-0.041617971,-6242.695586,86,R2.5.3-7,5,0.022419459
2,5.3R2,5,150000,0.00015,3,6,8/20/2022,14:50,1.11331,8/22/2022,11:00,1.15489,-0.04158,-0.000006237,0.04366,-0.037348088,-5602.21322,85,R2.5.3-6,5,0.026201362
2,4.2R2,4,15000,0.000015,2,9,8/30/2022,11:30,1.09969,9/1/2022,10:30,0.91047,0.18922,2.84E-06,0.045465,0.172066673,2581.0001,377,R2.4.2-9,5,0.027356411
2,1.5R2,1,0,0,5,5,8/20/2022,14:50,0.90381,8/22/2022,11:00,0.96689,-0.06308,0,0.0455,-0.06979343,0,1056,R2.1.5-5,5,0.027378808
2,5.4R2,5,150000,0.00015,4,7,8/22/2022,10:30,1.20538,8/24/2022,13:00,1.24597,-0.04059,-6.09E-06,0.04559,-0.033674028,-5051.104216,65,R2.5.4-7,5,0.0274364
2,5.2R2,5,150000,0.00015,2,5,8/22/2022,10:30,1.11297,8/24/2022,13:00,1.1528,-0.03983,-5.97E-06,0.04635,-0.035787128,-5368.06922,119,R2.5.2-5,5,0.027922737
2,1.2R2,1,0,0,2,4,8/20/2022,14:50,1.09911,8/22/2022,11:00,1.1371,-0.03799,0,0.05321,-0.034564329,0,1136,R2.1.2-4,5,0.032312561
2,5.1R2,5,150000,0.00015,1,6,8/20/2022,14:50,1.21843,8/22/2022,11:00,1.2394,-0.02097,-3.15E-06,0.05581,-0.017210673,-2581.600913,161,R2.5.1-6,5,0.033976342
2,1.4R2,1,0,0,4,3,8/14/2022,14:40,0.95571,8/16/2022,15:30,0.9895,-0.03379,0,0.05741,-0.035355913,0,1073,R2.1.4-3,5,0.035000208
2,5.1R2,5,150000,0.00015,1,7,8/22/2022,10:30,0.99418,8/24/2022,13:00,1.02676,-0.03258,-0.000004887,0.0617,-0.032770726,-4915.608843,162,R2.5.1-7,5,0.037745448
2,2.9R2,2,150,0.00000015,9,5,8/24/2022,12:00,1.03857,8/26/2022,11:00,1.10235,-0.06378,-9.57E-09,0.06369,-0.061411364,-9.211704555,765,R2.2.9-5,5,0.039018881
2,3.12R2,3,1500,0.0000015,12,2,8/24/2022,12:00,0.99294,8/26/2022,11:00,1.02114,-0.0282,-4.23E-08,0.07339,-0.028400508,-42.60076138,713,R2.3.12-2,5,0.045226066
2,1.4R2,1,0,0,4,6,8/20/2022,14:50,0.8363,8/22/2022,11:00,0.85295,-0.01665,0,0.07455,-0.019909124,0,1076,R2.1.4-6,5,0.045968369
2,2.2R2,2,150,0.00000015,2,5,8/22/2022,10:30,1.48577,8/24/2022,13:00,1.52251,-0.03674,-5.51E-09,0.08446,-0.024727919,-3.709187829,883,R2.2.2-5,5,0.052309937
2,5.1R2,5,150000,0.00015,1,4,8/16/2022,14:00,1.18991,8/18/2022,14:00,1.18014,0.00977,1.47E-06,0.08655,0.008210705,1231.605752,159,R2.5.1-4,5,0.053647361
2,1.1R2,1,0,0,1,6,8/22/2022,10:30,1.02366,8/24/2022,13:00,1.01352,0.01014,0,0.09216,0.009905633,0,1184,R2.1.1-6,5,0.05723729
2,2.2R2,2,150,0.00000015,2,2,8/16/2022,14:00,1.10656,8/18/2022,14:00,1.12546,-0.0189,-2.84E-09,0.09864,-0.01707996,-2.561993927,880,R2.2.2-2,5,0.061383946
2,1.9R2,1,0,0,9,5,8/22/2022,10:30,1.11065,8/24/2022,13:00,1.08906,0.02159,0,0.10361,0.019439067,0,1010,R2.1.9-5,5,0.064564329
2,5.4R2,5,150000,0.00015,4,6,8/20/2022,14:50,1.19087,8/22/2022,11:00,1.1695,0.02137,3.21E-06,0.10661,0.017944864,2691.729576,64,R2.5.4-6,5,0.066484077
2,1.2R2,1,0,0,2,5,8/22/2022,10:30,1.13164,8/24/2022,13:00,1.13581,-0.00417,0,0.10715,-0.003684917,0,1137,R2.1.2-5,5,0.066829632
2,1.12R2,1,0,0,12,4,8/28/2022,1:00,1.06484,8/30/2022,12:00,1.02208,0.04276,0,0.1083,0.040156268,0,1222,R2.1.12-4,5,0.067565535
2,3.12R2,3,1500,0.0000015,12,28,10/15/2022,10:00,1.11025,10/17/2022,13:15,1.11025,0,0,0.11129,0,0,739,R2.3.12-28,5,0.069478884
