colony,whole.mean,mean.dose,round,dose,treatment,replicate,brood_cells,honey_pot,eggs,dead_larvae,live_larvae,dead_pupae,live_pupae,dead_drones,live_drones,drones,avg_pollen,qro,duration,dead_lp,alive_lp,alive,dead,first,last,difference
1.11R2,0.282950909,0,2,0,1,11,18,1,14,1,0,4,3,0,0,4,0.282950909,B1,41,5,3,5,0,47.4,52.4,5
1.12R2,0.169796364,0,2,0,1,12,3,3,0,0,0,0,0,0,0,0,0.169796364,B1,45,0,0,0,5,48.21,52,3.79
1.1R2,0.521345789,0,2,0,1,1,54,4,5,1,49,2,6,0,0,6,0.521345789,B1,48,3,55,5,0,49.2,60.22,11.02
1.2R2,0.33742,0,2,0,1,2,29,10,0,6,21,0,0,0,0,12,0.33742,B5,28,6,21,4,1,51.5,58.9,7.4
1.3R2,0.451289091,0,2,0,1,3,32,2,13,0,17,3,7,0,0,11,0.451289091,B3,41,3,24,5,0,48.8,55.3,6.5
1.4R2,0.606301579,0,2,0,1,4,56,4,11,2,77,2,11,0,4,16,0.606301579,B5,44,4,88,1,4,48.6,58.4,9.8
1.5R2,0.707951579,0,2,0,1,5,50,8,87,1,46,0,4,0,0,22,0.707951579,B4,37,1,50,4,1,49.7,63.4,13.7
1.7R2,0.740038053,0,2,0,1,7,60,6,3,4,30,6,12,0,0,12,0.740038053,B1,37,10,42,5,0,49.5,64.9,15.4
1.9R2,0.224008077,0,2,0,1,9,2,0,0,1,0,1,0,0,0,0,0.224008077,B1,43,2,0,2,3,46.6,52.4,5.8
2.11R2,0.417827,35.9995816,2,150,2,11,26,8,3,0,7,6,0,0,0,9,0.417827,B1,47,6,7,5,0,48.8,58.5,9.7
2.12R2,0.40355681,35.62452935,2,150,2,12,29,8,0,9,7,3,0,4,1,5,0.40355681,B1,44,12,7,5,0,48.6,58.5,9.9
2.1R2,0.610158947,55.13368328,2,150,2,1,47,14,0,0,18,5,9,0,0,11,0.5773655,B1,46,5,27,5,0,49.3,62.14,12.84
2.2R2,0.510923435,47.65174207,2,150,2,2,41,12,16,2,16,0,1,0,0,19,0.510923435,B5,55,2,17,4,1,48.3,62.14,13.84
2.3R2,0.328003632,24.29675944,2,150,2,3,19,3,5,1,0,1,1,0,0,6,0.328003632,B3,41,2,1,5,0,48.4,53.5,5.1
2.4R2,0.388139412,32.86885711,2,150,2,4,29,4,36,0,20,0,11,0,0,0,0.388139412,B5,44,0,31,0,5,47.4,60.9,13.5
2.5R2,0.7194915,73.77695874,2,150,2,5,44,8,14,15,29,8,12,0,0,11,0.7194915,B4,40,23,41,4,1,48.9,60.9,12
2.7R2,0.5299685,46.45850639,2,150,2,7,47,5,0,2,4,39,7,0,0,5,0.5299685,B1,45,41,11,5,0,48.3,57.7,9.4
2.9R2,0.58571519,52.49617521,2,150,2,9,50,9,8,0,23,9,9,0,4,10,0.58571519,B1,46,9,32,5,0,50.2,61,10.8
3.11R2,0.421640952,357.6577925,2,1500,3,11,35,6,0,2,15,8,8,0,0,1,0.421640952,B1,39,10,23,5,0,48,62.9,14.9
3.12R2,0.339099259,281.2180256,2,1500,3,12,29,9,0,12,0,9,0,0,0,1,0.339099259,B1,39,21,0,5,0,48.8,61.9,13.1
3.1R2,0.371194783,307.8860579,2,1500,3,1,18,3,10,2,3,2,2,0,0,3,0.371194783,B1,35,4,5,5,0,48.5,54.7,6.2
3.2R2,0.346101,310.2828662,2,1500,3,2,26,6,0,0,32,1,2,0,0,7,0.753131579,B5,48,1,34,5,0,48.2,56,7.8
3.3R2,0.846580556,919.0982303,2,1500,3,3,64,9,15,14,49,24,1,0,0,10,0.504465217,B3,62,38,50,5,0,48,65,17
3.4R2,0.412043333,406.2087499,2,1500,3,4,35,2,6,0,34,8,0,0,0,7,0.846580556,B5,38,8,34,3,2,48.1,58.8,10.7
3.5R2,0.890621053,969.8969038,2,1500,3,5,96,9,16,15,71,12,18,1,2,15,0.412043333,B4,58,27,89,4,1,48,66,18
3.7R2,0.626667955,720.4781106,2,1500,3,7,74,4,1,6,49,14,2,0,0,19,0.890621053,B1,20,20,51,5,0,47.7,58.4,10.7
3.9R2,0.440951053,417.9884856,2,1500,3,9,33,2,2,1,28,2,4,0,0,2,0.626667955,B1,44,3,32,5,0,50.6,66,15.4
4.11R2,0.345601111,3697.922532,2,15000,4,11,33,3,2,1,22,3,5,0,0,4,0.326313421,B1,42,4,27,5,0,48.9,58.8,9.9
4.12R2,0.249629474,2085.616936,2,15000,4,12,15,8,0,3,3,0,0,0,0,2,0.22322619,B1,42,3,3,3,2,48.5,57.1,8.6
4.1R2,0.7074755,8936.658231,2,15000,4,1,63,6,14,2,36,7,7,1,1,19,0.7074755,B1,41,9,43,5,0,49.6,64.7,15.1
4.2R2,0.38717425,4380.604838,2,15000,4,2,29,6,2,4,4,0,4,0,0,12,0.281679167,B5,40,4,8,3,2,48.4,62.7,14.3
4.3R2,0.580007368,6846.910598,2,15000,4,3,41,13,15,3,15,1,2,0,0,17,0.39445,B3,40,4,17,5,0,48.1,59.1,11
4.4R2,0.835624737,10230.80238,2,15000,4,4,53,10,13,46,32,6,0,0,0,27,0.580007368,B5,46,52,32,5,0,49.5,68,18.5
4.5R2,0.233596667,1757.692975,2,15000,4,5,6,1,3,1,0,2,0,0,0,0,0.835624737,B4,40,3,0,0,5,50,58.8,8.8
4.7R2,0.62374,7030.063452,2,15000,4,7,51,7,7,0,35,7,7,0,0,9,0.233596667,B1,40,7,42,5,0,48,57,9
4.9R2,0.532295,5682.260108,2,15000,4,9,39,9,3,0,11,0,2,0,0,17,0.62374,B1,45,0,13,4,1,47.2,56.5,9.3
5.11R2,0.411396,43070.09972,2,150000,5,11,27,11,0,0,33,2,0,0,0,7,0.411396,B1,43,2,33,5,0,48.5,60.4,11.9
5.12R2,0.207774074,15383.81515,2,150000,5,12,8,1,0,4,0,2,0,1,1,1,0.207774074,B1,44,6,0,5,0,48.6,54.3,5.7
5.1R2,0.378228571,37367.48316,2,150000,5,1,28,7,0,0,13,1,6,0,0,10,0.378228571,B1,42,1,19,5,0,47.4,55.5,8.1
5.2R2,0.491246818,52985.85612,2,150000,5,2,44,1,11,4,19,8,8,1,1,11,0.491246818,B5,40,12,27,4,1,48.8,59.9,11.1
5.3R2,0.212877778,16364.60071,2,150000,5,3,0,0,0,0,0,0,0,0,0,0,0.212877778,B3,58,0,0,0,5,49.2,58.2,9
5.4R2,0.4563045,48624.01684,2,150000,5,4,42,8,9,1,33,2,5,0,0,10,0.4563045,B5,51,3,38,5,0,47.6,58.2,10.6
5.5R2,0.709547895,82144.93157,2,150000,5,5,56,10,6,4,31,13,2,0,0,15,0.6663385,B4,43,17,33,5,0,49,53.9,4.9
5.7R2,0.611318889,67415.74103,2,150000,5,7,34,8,7,1,6,6,4,0,0,19,0.611318889,B1,41,7,10,5,0,49.2,60.8,11.6
5.9R2,0.418829048,42601.2723,2,150000,5,9,27,10,6,0,13,1,1,0,0,13,0.396835909,B1,41,1,14,5,0,50.2,67,16.8
