colony,whole.mean,mean.dose,round,treatment,replicate,biobest_origin,start_wet_weight,alive_at_end,dead_at_end,shut_down_dt,dry weight,days_alive,colony_duration,proportion,qro,dry,alive,dead,survived,died,logdays,dry_weight
1.11R2,0.282950909,0,2,1,11,B1,0.10695,1,0,10/4/2022,0.03668,45,45,1,B1,0.03668,5,0,1,0,3.80666249,0.03668
1.11R2,0.282950909,0,2,1,11,B1,0.13138,1,0,10/4/2022,0.02286,45,45,1,B1,0.02286,5,0,1,0,3.80666249,0.02286
1.11R2,0.282950909,0,2,1,11,B1,0.16487,1,0,10/4/2022,0.02867,45,45,1,B1,0.02867,5,0,1,0,3.80666249,0.02867
1.11R2,0.282950909,0,2,1,11,B1,0.17112,1,0,10/4/2022,0.03615,45,45,1,B1,0.03615,5,0,1,0,3.80666249,0.03615
1.11R2,0.282950909,0,2,1,11,B1,0.1335,1,0,10/4/2022,0.0302,45,45,1,B1,0.0302,5,0,1,0,3.80666249,0.0302
1.12R2,0.169796364,0,2,1,12,B1,0.06212,0,1,10/6/2022,0.03578,14,45,0.311111111,B1,0.03578,0,5,0,1,2.63905733,0.03578
1.12R2,0.169796364,0,2,1,12,B1,0.0988,0,1,10/6/2022,0.03197,39,45,0.866666667,B1,0.03197,0,5,0,1,3.663561646,0.03197
1.12R2,0.169796364,0,2,1,12,B1,0.10142,0,1,10/6/2022,0.03227,45,45,1,B1,0.03227,0,5,0,1,3.80666249,0.03227
1.12R2,0.169796364,0,2,1,12,B1,0.11283,0,1,10/6/2022,0.0283,20,45,0.444444444,B1,0.0283,0,5,0,1,2.995732274,0.0283
1.12R2,0.169796364,0,2,1,12,B1,0.11397,0,1,10/6/2022,0.03422,33,45,0.733333333,B1,0.03422,0,5,0,1,3.496507561,0.03422
1.1R2,0.521345789,0,2,1,1,B1,0.18014,1,0,9/21/2022,0.0404,40,40,1,B1,0.0404,5,0,1,0,3.688879454,0.0404
1.1R2,0.521345789,0,2,1,1,B1,0.11695,1,0,9/21/2022,0.03992,40,40,1,B1,0.03992,5,0,1,0,3.688879454,0.03992
1.1R2,0.521345789,0,2,1,1,B1,0.16987,1,0,9/21/2022,0.04813,40,40,1,B1,0.04813,5,0,1,0,3.688879454,0.04813
1.1R2,0.521345789,0,2,1,1,B1,0.14288,1,0,9/21/2022,0.03672,40,40,1,B1,0.03672,5,0,1,0,3.688879454,0.03672
1.1R2,0.521345789,0,2,1,1,B1,0.21082,1,0,9/21/2022,0.04551,40,40,1,B1,0.04551,5,0,1,0,3.688879454,0.04551
1.2R2,0.33742,0,2,1,2,B5,0.16352,1,0,10/11/2022,0.06622,58,58,1,B5,0.06622,4,1,1,0,4.060443011,0.06622
1.2R2,0.33742,0,2,1,2,B5,0.24062,0,1,10/11/2022,0.04669,57,58,0.982758621,B5,0.04669,4,1,0,1,4.043051268,0.04669
1.2R2,0.33742,0,2,1,2,B5,0.18289,1,0,10/11/2022,0.05028,58,58,1,B5,0.05028,4,1,1,0,4.060443011,0.05028
1.2R2,0.33742,0,2,1,2,B5,0.16234,1,0,10/11/2022,0.05348,58,58,1,B5,0.05348,4,1,1,0,4.060443011,0.05348
1.2R2,0.33742,0,2,1,2,B5,0.2107,1,0,10/11/2022,0.05653,58,58,1,B5,0.05653,4,1,1,0,4.060443011,0.05653
